participantID,wcg_strategy,wcg_strategy_group
1000,"1st time, avoid food 2nd time, concentrate on the letter c",categories
1001,I didn't use any strategy.,no_strategy
1002,"Associated words, rhyming",rhyming
1003,tried to list things around or near me,surroundings
1004,looked around my room,surroundings
1005,Mind,other
1006,I tried to think about things that were completely unrelated to the topics I was told to avoid which were food and the story I just read.,no_strategy
1007,I just tried to focus on keeping things away from the forbidden topic,no_strategy
1008,Just tried to tie as many of the same things together.,other
1009,Words familar and important to me.,other
1010,I typed the first word that came to mind,no_strategy
1011,"I thought about what i was doing before the study (what I was reading about, what I was talking about, etc.)",concerns
1012,Thinking of objects around me and activities I've engaged in recently.,"concerns,surroundings"
1013,"no specific strategy, just think.",no_strategy
1014,just keeping the disallowed topics from my mind,no_strategy
1015,"Tried not to think about food, as instructed; tried not to think about the story, as instructed. Tried not to link words together in any coherent way, but rather just used what popped into my head.",no_strategy
1016,Try to think a few moves ahead. Be on the lookout for patterns in the words,other
1017,I looked at letters on my keyboard to come up with starting letters for the words,categories
1018,pick a category and go with it,categories
1019,"Tried to randomly produce words well outside of the constraints of what not to think about (i.e. - food, the story)",no_strategy
1020,"I typed in groups of related words, one word each time.",categories
1021,i just let my brain wonder,no_strategy
1022,tried to follow the rules and go fast,no_strategy
1023,I looked at things around me and also tried to think of random words and words related to them.,surroundings
1024,none,no_strategy
1025,No particular strategy. Just used words I know.,no_strategy
1026,I don't know,no_strategy
1027,I thought about what I had to do today and the things I do on a daily basis in general. I also thought about my surroundings and what's in the room.,"concerns,surroundings"
1028,"I didn't really have a strategy. I wrote a word and then thought of all the related words I could type, and then just kind of went with that process.",categories
1029,I didn't use any.,no_strategy
1030,I thought of something around the room and thought of words that would associate with it,surroundings
1031,I would think of a place and type what I can associate with it,other
1032,"close my eyes, think of something then type ",no_strategy
1033,trail of thoughts,other
1034,I jst loked around and branched off from those words,surroundings
1035,I was just looking around my surrounding and thinking of what the objects were.,surroundings
1036,Thinking wide,no_strategy
1037,I just tried to think of random words that popped into my mind. Or I would rhyme words. Or I would think of certain themes and all of the words within that theme.  Or I would just look around my room to see what I could think of honestly. ,"surroundings,categories,rhyming"
1038,I tried to think of things that were connected ,categories
1039,no strategy,no_strategy
1040,I was just looking around me and going from there.,surroundings
1041,Just tried to make the sentences flow in my mind,other
1042,I used related words,categories
1043,simply thought of words that were aligned with the rules. They were close in nature many times.,no_strategy
1044,I tried to think of words that were related to each other and not related to the content that I was asked to not think about. ,categories
1045,I avoided thinking of things that may have been also slightly correlated to what I was not supposed to think about.,no_strategy
1046,tried to not think of the same words,no_strategy
1047,Once I thought of a word I then tried to use words that were similar sounding to that word and then moved on to the next word.,rhyming
1048,,no_strategy
1049,I looked out window and around me to come up with words I could use,surroundings
1050,"No strategy really, I just tried to keep my mind clear and choose words that I can pair with another word",no_strategy
1051,Just thought of anything and the related words to it and then moved to another word type. ,categories
1052,selected a room and things in it,surroundings
1053,not think of food then the story,no_strategy
1054,"no any strategies, I was just type the word than come to mind first",no_strategy
1055,none,no_strategy
1056,I focused on a set of related words at a time.,categories
1057,I just thought of the first words that came to mind as i was instructed honestly. ,no_strategy
1058,no strategy,no_strategy
1059,I try to enumerate words that are related to each other.,categories
1060,I didn't have one.,no_strategy
1061,"It was quite difficult at times. You know how it is, as soon as you're trying to think of unique words your mind goes blank. I did my best by trying to pick out things nearby. Occasionally, I'd come up with a random word that just happened to pop into my mind. From these words I'd do a few different things, come up with similar words, or come up with a word that started with a letter in the previous word. Having an anchor like a specific starting letter made it easier to focus in on potential words.","surroundings,categories"
1062,I looked at things in my vicinity. I used words that were related to the previous word that I mentioned.,"surroundings,categories"
1063,I just try to stay within the parameters that I was going.,no_strategy
1064,I just let my mind wander between topics and thought of a bunch of words related to the current topic before moving on,categories
1065,Just thinking of random words and about my work,concerns
1066,i looked around the room at different objects,surroundings
1067,I just typed whatever word came to mind over and over,no_strategy
1068,categories were helpful,categories
1069,naming items around me or that popped into my head and avoiding food,surroundings
1070,thinking of words that were related to previous words ,categories
1071,I focused on what I wasn't supposed to say. ,no_strategy
1072,Just words that came to topp of my head and some similar words or ryming,rhyming
1073,I have ADHD so random words pop into my head constantly,no_strategy
1074,I was just naming what happened to come to mind. I also avoided what was asked of us during these sections of the study so I kept those rules in the back of my mind.,no_strategy
1075,Just what I was thinking about ,other
1076,thinking about things in my yard/house,other
1077,Looking at my surroundings and going from there.,surroundings
1078,I looked outside out of the window in front of my desk,surroundings
1079,"I just followed from word to word, I didn't really chase themes.",no_strategy
1080,none just words that came to thought,no_strategy
1081,"I just thought of certain categories first. Then the second time I did the same thing but I did it alphabetically, like fruits starting with A, then I think I did animals... and whatever random words popped in my head. A few of them were food but that's because I have food right next to where I am and for the first part of the word chain I was looking at things around the room. ","categories,surroundings"
1082,I just tried to think of anything other than the prohibited topics they added.,no_strategy
1083,I didn't have any strategies,no_strategy
1084,"I didn't really use any strategies. I just tried to stay in the moment, but I didn't try too hard. I felt like trying too hard would cause the opposite effect.",no_strategy
1085,I looked around me to see what objects surrounded me.  I thought about what objects there are outside.  I thought about categories of objects.  I didn't include many words that were not objects.  ,"surroundings,categories"
1086,words of things in front of me,surroundings
1087,"things i know, like or just popped into my head",no_strategy
1088,I just tried to keep thinking of words,no_strategy
1089,nothing specific,no_strategy
1090,I thought of random items close to me and some relation to it.,surroundings
1091,"Since the story was around murder and murder is sad, I tried to think about happy subjects and then let my mind wander from there to try to steer clear from words associated with the story.",other
1092,I tried to keep my thinking very close to the word at hand so that I wouldn't stray close the the subjects I was told to avoid.,other
1093,"I did not use any particular strategies, I just used words based off items in the room I am in.",surroundings
1094,"I tried thinking of a topic and then typed words related to it, then if I ran out I tried to think of words related to the last word I submitted.",categories
1095,looked around the room i was in and started there.  tried to list many words in the same category before jumping to a new category,"surroundings,categories"
1096,I was thinking of things in my everyday life,concerns
1097,"Instead of focusing on the story or what I was told to avoid, I instead focus on what I see or do in my daily activities.",concerns
1098,I had no strategies just wrote words that followed after naturally.,no_strategy
1099,Just wrote down the first word that came to mind,no_strategy
1100,I tried to think of simple words associated to my life,concerns
1101,I thought about something in the room or something that's been on my mind and wrote words associated with it in some way,"surroundings,concerns"
1102,none,no_strategy
1103,"visualized a scene and started naming things. Also, tied like things together and changed direction when another word popped into my head",other
1104,looking around the room where I am sitting,surroundings
1105,"None, just random babbling.",no_strategy
1106,"I'd think of a word that had a lot of related words to it, such as multiple animals in a row, multiple weather related words, etc",categories
1107,I used any word that came to mind,no_strategy
1108,Current life events and struggles. Thinking about words that reflect my life and surroundings.,"concerns,surroundings"
1109,Nothing in particular.,no_strategy
1110,"The first was purely random, the second there was no rule against food so I just kept that theme.",no_strategy
1111,looked around at objects i saw around the room,surroundings
1112,I scanned the keyboard for random letters and wrote the first word that came to mind.,categories
1113,I picked a first letter and then entered the first word that came to my mind (that starts with that letter),categories
1114,Think of something unrelated to food and then list off all the properties I can about it.,other
1115,I found it easiest to use words that were related to what I had submitted before as they popped into my head quicker.,other
1116,"No strategy, just free association",no_strategy
1117,thinking of topics I like and grounding myself with objects in front of me,surroundings
1118,Used words that reminded me of other words,other
1119,Just went with the flow with a background notion of excluding words pertaining to the subjects mentioned,no_strategy
1120,I looked what was around me and what was outside my window,surroundings
1121,I think of a word and then find synonyms for word to come up with more words.,categories
1122,I though of a setting/concept and typed words relating to that.,other
1123,Looked around the room I was in.  I thought about my recent vacation.,"surroundings,concerns"
1124,rhyming. looking at things in the room around me. word association,"rhyming,surroundings"
1125,Started to make images in my mind and move through the connected images,other
1126,I picked things around me that I could see.,surroundings
1127,I strung words that were similar in either pronunciation or subject.,"categories,rhyming"
1128,I looked at the things around me and went from there.,surroundings
1129,i typed words.,no_strategy
1130,I just used the first word that came to mind ,no_strategy
1131,focusing on professional knowledge- specifically content I'm teaching my students,concerns
1132,"concentrated on common words as much as I could, I tried not to focus on food or the story and stayed away with any words that came to mind that may have been in the story, as that was long and I am not sure if I was able to leave any words out from the story. as far as the food went , that was easy.",no_strategy
1133,"I didn't have any strategies, I just typed whatever word came to my. mind",no_strategy
1134,used words that were around me and related to each other,surroundings
1135,Naming things related to each other so I spent less time drawing blanks ,categories
1136,I just types the first words that came to mind.,no_strategy
1137,None. I wrote what words came to mind.,no_strategy
1138,I rhymed words but also typed words similar to the ones before.,"rhyming,categories"
1139,I just did my best to think of things so far away from the story and just kept on that path,no_strategy
1140,I wrote whatever popped in my head and thought of relating words.,no_strategy
1141,"Categories, if I wrote a word that was in a category or had an opposite like a color etc I would write those next.",categories
1142,Looking at letters on my keyboard to try and think of the next word to type. Writing similar words to the previous one entered.,categories
1143,words beginning with the same letter,categories
1144,I tried to name words that were associated with each other.,categories
1145,I typed in whatever came into my mind. Word association mostly.,no_strategy
1146,looking around me and thinking of recent places and things i have done,"surroundings,concerns"
1147,stick to related words that were unrelated to what i was asked not to think about,categories
1148,I listed things that were next to me and things that were in my mind.,surroundings
1149,Train of thought,other
1150,used things around me and whatever came to mid,surroundings
1151,objects around me,surroundings
1152,just made sure to follow appropriate path of words,other
1153,thought of words that related to the words i put,other
1154,First word to come to mind.,no_strategy
1155,looking at things around me and things I associated with them,surroundings
1156,No strategy during the first; I thought about a recent incident that happened to me during the second.,concerns
1157,i tried thinking of regular things,no_strategy
1158,I liked words that rhymed,rhyming
1159,none,no_strategy
1160,focus on things around my house,surroundings
1161,"I simply tried to think of a word, and then come up with a word related to it, and so on and so forth.",categories
1162,I would let a word pop in my head and then type words that seemed to follow it.,no_strategy
1163,naming things aroung me ,surroundings
1164,tried to use words that rhymed,rhyming
1165,looked around the room,surroundings
1166,focus,other
1167,i just was random,no_strategy
1168,I just wrote down words that came to mind,no_strategy
1169,I thought of categories of things like colors or animals and came up with words in those categories. ,categories
1170,I listed items that came to mind,no_strategy
1171,thought of things around me,surroundings
1172,tried to use the word before to come up with another similarly related word,other
1173,I used my intuition ,other
1174,Typed any word that came in mind,no_strategy
1175,Words from work and home,other
1176,"No strategy, I just mentioned the first thing that came into my head other than the topics I was meant to avoid.",no_strategy
1177,I wrote the first thing that came to mind,no_strategy
1178,I typed any word that would come up to my head in the moment and also looked around the room for ideas.,surroundings
1179,none,no_strategy
1180,I looked around my room and thought of objects and things related to what i saw.,surroundings
1181,I just tried to find thinks that linked them together. ,other
1182,none,no_strategy
1183,phrases i used then randomness,other
1184,I named things that were visible to me first and then items associated with them,surroundings
1185,Thought about my surroundings,surroundings
1186,I just went in order of the alpha keys,other
1187,i just think about it,no_strategy
1188,Brainstorm words that are considered to be my favorite.,other
1189,none,no_strategy
1190,I didn't have used any strategies.,no_strategy
1191,just random word association making lists of items after thinking of an initial word,no_strategy
1192,No strategies in the word chains just thought of words that came to mind.,no_strategy
1193,I try to make a word chain.,other
1194,I make my mind and then start type.,no_strategy
1195,seeing something around me to get me thinking,surroundings
1196,I had no strategy in mind,no_strategy
1197,I don't think there were none.,no_strategy
1198,GOOD,other
1199,Just thinking of the first word that popped up in my head and some related words thereafter.  ,no_strategy
1200,none,no_strategy
1201,video games,other
1202,I used words of things I could see around me,surroundings
1203,"I started by listing things around me, then moved on to imagining the other rooms of my house and listing things that I would find there.",surroundings
1204,i just tried to freely associate ,no_strategy
1205,alphabet,categories
1206,"I tried to weave words by meaning but not including verbs that would make it a sentence. If I felt like it was becoming a sentence several words in, then I would swap topics",other
1207,"I was trying to think of different things that I've been doing over the past couple days and write about words that pop into my head when thinking about that. And sometimes related words. Like I vacuumed yesterday, so I wrote vacuum, but also wrote sweeping and mopping cause theyre related and it made me think of them. ",concerns
1208,I thought of words I saw as well as words that would mentally put me further away from the forbidden subject.,surroundings
1209,i didnt have any,no_strategy
1210,No strategies used actually.,no_strategy
1211,I looked at things around me and then associated them with other words and kept going.,surroundings
1212,I thought about my life and the current things I was dealing with in the outside world,concerns
1213,I tried my best to not include words relating to either food or anything that was mentioned in the story as far as I could remember.,no_strategy
1214,i just looked around me ,surroundings
1215,Just followed my gut,other
1216,I tried to think about things outside in nature to avoid thinking about food.,other
1217,I just used what came to my mind in the moment,no_strategy
1218,Rhyme,rhyming
1219,No strategies.,no_strategy