participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl
2097,excluded,False,False,True,True,False,False,False,False,False
2098,included,False,False,False,False,False,False,False,False,False
2099,included,False,False,False,False,False,False,False,False,False
2100,excluded,False,False,False,False,False,False,True,False,False
2101,excluded,True,False,False,True,True,False,False,False,False
2102,included,False,False,False,False,False,False,False,False,False
2103,excluded,True,False,False,False,False,False,False,False,False
2104,included,False,False,False,False,False,False,False,False,False
2105,excluded,False,True,False,True,False,False,False,True,True
2106,included,False,False,False,False,False,False,False,False,False
2107,included,False,False,False,False,False,False,False,False,False
2108,included,False,False,False,False,False,False,False,False,False
2109,included,False,False,False,False,False,False,False,False,False
2110,included,False,False,False,False,False,False,False,False,False
2111,included,False,False,False,False,False,False,False,False,False
2112,included,False,False,False,False,False,False,False,False,False
2113,included,False,False,False,False,False,False,False,False,False
2114,included,False,False,False,False,False,False,False,False,False
2115,included,False,False,False,False,False,False,False,False,False
2116,included,False,False,False,False,False,False,False,False,False
2117,included,False,False,False,False,False,False,False,False,False
2118,excluded,False,True,True,False,False,False,False,False,False
2119,included,False,False,False,False,False,False,False,False,False
2120,excluded,False,False,False,True,False,False,False,False,False
2122,included,False,False,False,False,False,False,False,False,False
2123,excluded,True,True,False,True,False,False,False,True,False
2124,excluded,False,False,False,True,False,False,False,False,False
2125,included,False,False,False,False,False,False,False,False,False
2126,included,False,False,False,False,False,False,False,False,False
2127,excluded,True,False,False,True,False,False,False,False,False
2128,excluded,True,True,False,True,False,False,False,False,False
2129,included,False,False,False,False,False,False,False,False,False
2130,excluded,True,True,False,False,False,False,False,False,False
2131,included,False,False,False,False,False,False,False,False,False
2132,excluded,True,False,True,True,True,False,True,False,False
2133,excluded,False,False,False,False,False,False,False,True,False
2134,included,False,False,False,False,False,False,False,False,False
2135,included,False,False,False,False,False,False,False,False,False
2136,excluded,False,False,True,True,False,False,False,False,False
2137,excluded,False,False,False,False,False,False,True,False,False
2138,included,False,False,False,False,False,False,False,False,False
2139,included,False,False,False,False,False,False,False,False,False
2140,included,False,False,False,False,False,False,False,False,False
2141,included,False,False,False,False,False,False,False,False,False
2142,included,False,False,False,False,False,False,False,False,False
2143,included,False,False,False,False,False,False,False,False,False
2144,included,False,False,False,False,False,False,False,False,False
2145,included,False,False,False,False,False,False,False,False,False
2121,excluded,True,False,False,False,False,False,False,False,False
2146,included,False,False,False,False,False,False,False,False,False
2147,included,False,False,False,False,False,False,False,False,False
2148,included,False,False,False,False,False,False,False,False,False
2149,included,False,False,False,False,False,False,False,False,False
2151,excluded,False,False,False,False,False,False,False,True,False
2152,excluded,True,True,True,True,False,False,False,True,True
2153,excluded,False,False,True,True,False,False,False,False,False
2154,included,False,False,False,False,False,False,False,False,False
2155,included,False,False,False,False,False,False,False,False,False
2156,included,False,False,False,False,False,False,False,False,False
2157,included,False,False,False,False,False,False,False,False,False
2158,excluded,False,False,False,True,False,False,False,False,False
2159,included,False,False,False,False,False,False,False,False,False
2160,included,False,False,False,False,False,False,False,False,False
2161,included,False,False,False,False,False,False,False,False,False
2162,excluded,False,False,False,True,False,False,False,False,False
2163,included,False,False,False,False,False,False,False,False,False
2164,included,False,False,False,False,False,False,False,False,False
2165,included,False,False,False,False,False,False,False,False,False
2166,included,False,False,False,False,False,False,False,False,False
2167,included,False,False,False,False,False,False,False,False,False
2168,included,False,False,False,False,False,False,False,False,False
2169,excluded,True,False,True,True,True,False,False,True,False
2170,included,False,False,False,False,False,False,False,False,False
2171,included,False,False,False,False,False,False,False,False,False
2172,excluded,True,False,True,True,False,False,False,False,False
2173,included,False,False,False,False,False,False,False,False,False
2174,included,False,False,False,False,False,False,False,False,False
2175,included,False,False,False,False,False,False,False,False,False
2176,included,False,False,False,False,False,False,False,False,False
2177,included,False,False,False,False,False,False,False,False,False
2178,excluded,False,True,False,False,False,False,False,False,False
2179,included,False,False,False,False,False,False,False,False,False
2180,included,False,False,False,False,False,False,False,False,False
2181,included,False,False,False,False,False,False,False,False,False
2182,included,False,False,False,False,False,False,False,False,False
2183,excluded,False,True,False,False,False,False,False,False,False
2184,included,False,False,False,False,False,False,False,False,False
2185,included,False,False,False,False,False,False,False,False,False
2186,excluded,False,False,False,True,False,False,False,False,False
2187,included,False,False,False,False,False,False,False,False,False
2188,included,False,False,False,False,False,False,False,False,False
2189,excluded,False,False,False,True,False,False,False,False,False
2190,included,False,False,False,False,False,False,False,False,False
2191,excluded,False,True,False,False,False,False,False,True,False
2192,included,False,False,False,False,False,False,False,False,False
2193,excluded,True,False,False,True,False,False,False,False,False
2194,excluded,True,False,False,False,True,False,False,False,False
2195,included,False,False,False,False,False,False,False,False,False
2196,included,False,False,False,False,False,False,False,False,False
2197,excluded,False,False,False,True,False,False,False,False,False
2198,included,False,False,False,False,False,False,False,False,False
2199,included,False,False,False,False,False,False,False,False,False
2200,included,False,False,False,False,False,False,False,False,False
2201,excluded,False,False,False,False,False,False,True,False,False
2202,excluded,False,True,False,False,False,False,False,False,False
2203,included,False,False,False,False,False,False,False,False,False
2204,included,False,False,False,False,False,False,False,False,False
2205,included,False,False,False,False,False,False,False,False,False
2206,included,False,False,False,False,False,False,False,False,False
2207,included,False,False,False,False,False,False,False,False,False
2208,excluded,False,False,False,False,False,False,False,True,False
2209,included,False,False,False,False,False,False,False,False,False
2210,included,False,False,False,False,False,False,False,False,False
2211,included,False,False,False,False,False,False,False,False,False
2212,excluded,False,False,False,False,False,False,True,False,False
2213,included,False,False,False,False,False,False,False,False,False
2214,included,False,False,False,False,False,False,False,False,False
2215,included,False,False,False,False,False,False,False,False,False
2216,included,False,False,False,False,False,False,False,False,False
