participantID,exclusion,spr_char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl,suppress_probe_excl
1157,excluded,True,False,False,True,True,False,False,True,False,False
1000,included,False,False,False,False,False,False,False,False,False,False
1001,included,False,False,False,False,False,False,False,False,False,False
1002,included,False,False,False,False,False,False,False,False,False,False
1003,included,False,False,False,False,False,False,False,False,False,False
1158,excluded,False,False,False,True,False,False,False,False,False,False
1004,included,False,False,False,False,False,False,False,False,False,False
1005,excluded,False,False,True,False,False,False,False,False,False,False
1159,excluded,True,False,False,False,True,False,False,False,False,True
1006,included,False,False,False,False,False,False,False,False,False,False
1093,included,False,False,False,False,False,False,False,False,False,False
1007,included,False,False,False,False,False,False,False,False,False,False
1077,included,False,False,False,False,False,False,False,False,False,False
1160,excluded,True,True,False,False,True,True,False,True,True,False
1161,excluded,True,False,False,False,False,False,False,False,False,False
1008,included,False,False,False,False,False,False,False,False,False,False
1162,excluded,True,False,False,False,False,False,False,False,False,False
1163,excluded,True,True,False,True,False,False,False,True,False,False
1164,excluded,True,True,False,False,False,False,False,True,False,True
1009,excluded,False,False,False,True,False,False,False,False,False,False
1010,included,False,False,False,False,False,False,False,False,False,False
1011,included,False,False,False,False,False,False,False,False,False,False
1012,included,False,False,False,False,False,False,False,False,False,False
1165,excluded,False,False,False,True,False,False,False,True,False,False
1013,included,False,False,False,False,False,False,False,False,False,False
1166,excluded,True,False,True,True,True,False,False,True,False,True
1167,excluded,False,False,False,True,False,False,False,True,False,False
1014,included,False,False,False,False,False,False,False,False,False,False
1015,included,False,False,False,False,False,False,False,False,False,False
1168,excluded,True,True,False,False,False,False,False,False,False,True
1169,excluded,False,False,False,False,False,False,True,False,False,False
1016,excluded,False,True,True,False,False,False,False,True,False,False
1017,included,False,False,False,False,False,False,False,False,False,False
1018,included,False,False,False,False,False,False,False,False,False,False
1094,included,False,False,False,False,False,False,False,False,False,False
1095,included,False,False,False,False,False,False,False,False,False,False
1019,included,False,False,False,False,False,False,False,False,False,False
1020,included,False,False,False,False,False,False,False,False,False,False
1021,included,False,False,False,False,False,False,False,False,False,False
1022,excluded,False,False,False,False,False,False,False,True,False,False
1170,excluded,False,False,False,True,False,False,False,False,False,False
1023,included,False,False,False,False,False,False,False,False,False,False
1024,excluded,False,False,True,True,False,False,False,False,False,False
1096,included,False,False,False,False,False,False,False,False,False,False
1025,included,False,False,False,False,False,False,False,False,False,False
1026,excluded,False,False,True,True,False,False,False,False,False,True
1027,included,False,False,False,False,False,False,False,False,False,False
1074,excluded,False,False,False,False,False,False,False,True,True,False
1028,included,False,False,False,False,False,False,False,False,False,False
1078,included,False,False,False,False,False,False,False,False,False,False
1171,included,False,False,False,False,False,False,False,False,False,False
1172,excluded,False,False,False,True,False,False,False,True,True,False
1029,included,False,False,False,False,False,False,False,False,False,False
1097,included,False,False,False,False,False,False,False,False,False,False
1030,included,False,False,False,False,False,False,False,False,False,False
1173,excluded,False,False,False,True,False,False,False,False,False,False
1031,included,False,False,False,False,False,False,False,False,False,False
1032,included,False,False,False,False,False,False,False,False,False,False
1174,excluded,True,False,False,False,False,False,True,True,True,False
1033,included,False,False,False,False,False,False,False,False,False,False
1082,included,False,False,False,False,False,False,False,False,False,False
1175,excluded,False,False,False,True,False,False,False,True,False,False
1176,excluded,True,False,False,False,False,False,False,False,False,False
1177,excluded,True,True,False,False,False,False,False,True,True,False
1034,included,False,False,False,False,False,False,False,False,False,False
1178,excluded,True,False,False,False,False,False,False,False,False,False
1179,excluded,True,True,False,True,False,False,False,True,False,False
1035,included,False,False,False,False,False,False,False,False,False,False
1036,included,False,False,False,False,False,False,False,False,False,False
1037,included,False,False,False,False,False,False,False,False,False,False
1075,included,False,False,False,False,False,False,False,False,False,False
1180,excluded,True,False,False,True,False,False,False,True,True,False
1181,excluded,False,True,False,False,False,False,False,True,False,False
1182,excluded,False,False,False,False,False,True,False,False,False,False
1098,included,False,False,False,False,False,False,False,False,False,False
1038,included,False,False,False,False,False,False,False,False,False,False
1039,included,False,False,False,False,False,False,False,False,False,False
1040,included,False,False,False,False,False,False,False,False,False,False
1183,excluded,True,False,False,False,False,False,False,False,False,False
1076,included,False,False,False,False,False,False,False,False,False,False
1041,excluded,False,True,False,False,False,False,False,False,False,False
1042,excluded,False,False,False,False,False,False,False,True,False,False
1079,included,False,False,False,False,False,False,False,False,False,False
1043,excluded,False,False,False,False,False,False,False,True,False,False
1184,excluded,False,False,False,False,False,False,False,True,False,False
1044,included,False,False,False,False,False,False,False,False,False,False
1099,included,False,False,False,False,False,False,False,False,False,False
1083,excluded,False,True,False,False,False,False,False,False,False,False
1045,excluded,False,False,False,True,False,False,False,False,False,False
1046,included,False,False,False,False,False,False,False,False,False,False
1047,excluded,False,True,False,False,False,False,False,False,False,False
1048,excluded,False,True,False,False,False,False,False,False,False,False
1049,excluded,False,False,False,True,False,False,False,False,False,False
1100,included,False,False,False,False,False,False,False,False,False,False
1084,included,False,False,False,False,False,False,False,False,False,False
1185,excluded,False,False,False,False,False,False,True,True,True,False
1085,included,False,False,False,False,False,False,False,False,False,False
1101,included,False,False,False,False,False,False,False,False,False,False
1050,included,False,False,False,False,False,False,False,False,False,False
1051,included,False,False,False,False,False,False,False,False,False,False
1052,included,False,False,False,False,False,False,False,False,False,False
1102,included,False,False,False,False,False,False,False,False,False,False
1053,excluded,False,True,False,False,False,False,False,False,False,False
1054,included,False,False,False,False,False,False,False,False,False,False
1055,included,False,False,False,False,False,False,False,False,False,False
1186,excluded,True,False,False,False,False,False,False,False,False,False
1056,included,False,False,False,False,False,False,False,False,False,False
1187,excluded,True,False,False,False,False,False,False,True,True,False
1057,included,False,False,False,False,False,False,False,False,False,False
1058,included,False,False,False,False,False,False,False,False,False,False
1086,included,False,False,False,False,False,False,False,False,False,False
1059,included,False,False,False,False,False,False,False,False,False,False
1060,included,False,False,False,False,False,False,False,False,False,False
1087,excluded,False,True,False,True,False,False,False,False,False,False
1188,excluded,True,False,True,True,True,False,False,True,True,False
1189,excluded,True,False,True,True,False,False,True,False,False,False
1061,excluded,False,True,False,False,False,False,False,False,False,True
1062,included,False,False,False,False,False,False,False,False,False,False
1063,included,False,False,False,False,False,False,False,False,False,False
1190,excluded,True,True,True,True,False,False,False,True,True,False
1191,excluded,False,True,False,False,False,False,True,False,False,False
1064,included,False,False,False,False,False,False,False,False,False,False
1192,excluded,True,False,False,True,False,False,False,False,False,True
1065,included,False,False,False,False,False,False,False,False,False,False
1193,excluded,False,False,False,False,False,False,True,False,False,False
1066,included,False,False,False,False,False,False,False,False,False,False
1067,included,False,False,False,False,False,False,False,False,False,False
1103,included,False,False,False,False,False,False,False,False,False,False
1194,excluded,False,True,True,True,False,False,True,False,False,True
1104,included,False,False,False,False,False,False,False,False,False,False
1068,included,False,False,False,False,False,False,False,False,False,False
1195,excluded,False,True,False,True,False,False,False,False,False,False
1088,excluded,False,True,False,False,False,False,False,False,False,False
1105,excluded,False,False,False,False,False,False,False,False,False,True
1106,included,False,False,False,False,False,False,False,False,False,False
1196,excluded,True,True,False,False,False,False,True,False,False,False
1107,excluded,False,False,False,False,False,False,False,True,False,False
1089,included,False,False,False,False,False,False,False,False,False,False
1069,included,False,False,False,False,False,False,False,False,False,False
1070,excluded,False,True,False,False,False,False,False,False,False,False
1108,included,False,False,False,False,False,False,False,False,False,False
1080,included,False,False,False,False,False,False,False,False,False,False
1197,excluded,False,False,False,True,False,False,False,False,False,False
1109,included,False,False,False,False,False,False,False,False,False,False
1110,included,False,False,False,False,False,False,False,False,False,False
1198,excluded,True,False,True,True,True,False,True,False,False,True
1111,included,False,False,False,False,False,False,False,False,False,False
1090,included,False,False,False,False,False,False,False,False,False,False
1071,included,False,False,False,False,False,False,False,False,False,False
1081,excluded,False,True,False,False,False,False,False,False,False,False
1072,included,False,False,False,False,False,False,False,False,False,False
1073,included,False,False,False,False,False,False,False,False,False,False
1091,included,False,False,False,False,False,False,False,False,False,False
1199,excluded,False,False,True,True,False,False,False,False,False,False
1092,included,False,False,False,False,False,False,False,False,False,False
1112,included,False,False,False,False,False,False,False,False,False,False
1200,excluded,False,False,False,True,False,False,False,False,False,False
1113,included,False,False,False,False,False,False,False,False,False,False
1114,included,False,False,False,False,False,False,False,False,False,False
1115,included,False,False,False,False,False,False,False,False,False,False
1116,included,False,False,False,False,False,False,False,False,False,False
1117,included,False,False,False,False,False,False,False,False,False,False
1118,included,False,False,False,False,False,False,False,False,False,False
1119,included,False,False,False,False,False,False,False,False,False,False
1120,included,False,False,False,False,False,False,False,False,False,False
1121,included,False,False,False,False,False,False,False,False,False,False
1201,excluded,True,False,False,False,False,False,False,False,False,False
1202,excluded,False,True,False,False,False,False,False,False,False,False
1122,included,False,False,False,False,False,False,False,False,False,False
1203,excluded,False,True,False,False,False,False,False,False,False,False
1204,excluded,False,True,False,True,False,False,False,True,False,False
1123,included,False,False,False,False,False,False,False,False,False,False
1124,included,False,False,False,False,False,False,False,False,False,False
1125,included,False,False,False,False,False,False,False,False,False,False
1126,included,False,False,False,False,False,False,False,False,False,False
1205,excluded,False,False,False,True,False,False,False,False,True,False
1127,included,False,False,False,False,False,False,False,False,False,False
1206,excluded,False,True,False,False,False,False,False,False,False,False
1207,excluded,False,True,False,False,False,False,False,False,False,False
1208,excluded,True,False,False,False,False,False,False,False,False,False
1128,included,False,False,False,False,False,False,False,False,False,False
1209,excluded,False,True,True,True,False,False,False,False,False,False
1129,included,False,False,False,False,False,False,False,False,False,False
1130,included,False,False,False,False,False,False,False,False,False,False
1131,included,False,False,False,False,False,False,False,False,False,False
1132,included,False,False,False,False,False,False,False,False,False,False
1133,included,False,False,False,False,False,False,False,False,False,False
1210,excluded,False,False,False,False,False,False,False,True,False,False
1211,excluded,True,True,False,False,False,False,False,True,True,False
1134,included,False,False,False,False,False,False,False,False,False,False
1135,included,False,False,False,False,False,False,False,False,False,False
1136,included,False,False,False,False,False,False,False,False,False,False
1137,included,False,False,False,False,False,False,False,False,False,False
1212,excluded,True,False,False,False,False,False,False,True,False,False
1138,included,False,False,False,False,False,False,False,False,False,False
1139,included,False,False,False,False,False,False,False,False,False,False
1140,included,False,False,False,False,False,False,False,False,False,False
1141,included,False,False,False,False,False,False,False,False,False,False
1142,included,False,False,False,False,False,False,False,False,False,False
1143,included,False,False,False,False,False,False,False,False,False,False
1144,included,False,False,False,False,False,False,False,False,False,False
1213,excluded,False,True,False,True,False,False,False,False,False,False
1214,excluded,False,False,False,True,False,False,False,False,False,False
1145,included,False,False,False,False,False,False,False,False,False,False
1146,included,False,False,False,False,False,False,False,False,False,False
1215,excluded,True,False,False,True,False,False,False,False,False,False
1147,included,False,False,False,False,False,False,False,False,False,False
1148,included,False,False,False,False,False,False,False,False,False,False
1149,included,False,False,False,False,False,False,False,False,False,False
1216,excluded,False,True,False,False,False,False,False,False,False,False
1150,included,False,False,False,False,False,False,False,False,False,False
1151,included,False,False,False,False,False,False,False,False,False,False
1152,included,False,False,False,False,False,False,False,False,False,False
1153,included,False,False,False,False,False,False,False,False,False,False
1154,included,False,False,False,False,False,False,False,False,False,False
1155,included,False,False,False,False,False,False,False,False,False,False
1217,excluded,True,False,True,True,False,False,False,False,False,False
1218,excluded,False,False,False,False,False,False,True,True,False,False
1219,excluded,True,False,False,False,False,False,False,True,True,False
1156,included,False,False,False,False,False,False,False,False,False,False
